index,ground_truth,prediction_single,prediction_majority,prediction_agent,raw_analyst_answers,analyst_reasons,raw_judge_answer
0,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 3']","['LABEL: 2', 'LABEL: 2', 'LABEL: 3']",2
1,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
2,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
3,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
4,0,3,2,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 2']","['LABEL: 3', 'LABEL: 2', 'LABEL: 2']",2
5,2,3,3,2,"['LABEL: 3', 'LABEL: 3', 'LABEL: 2']","['LABEL: 3', 'LABEL: 3', 'LABEL: 2']",2
6,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
7,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
8,2,2,3,2,"['LABEL: 2', 'LABEL: 3', 'LABEL: 3']","['LABEL: 2', 'LABEL: 3', 'LABEL: 3']",2
9,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
10,1,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
11,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
12,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
13,1,1,1,1,"['LABEL: 1', 'LABEL: 1', 'LABEL: 2']","['LABEL: 1', 'LABEL: 1', 'LABEL: 2']",1
14,0,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
15,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
16,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
17,2,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
18,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
19,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
20,1,3,3,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 3']","['LABEL: 3', 'LABEL: 2', 'LABEL: 3']",2
21,1,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
22,2,3,2,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 2']","['LABEL: 3', 'LABEL: 2', 'LABEL: 2']",2
23,0,3,3,2,"['LABEL: 3', 'LABEL: 3', 'LABEL: 2']","['LABEL: 3', 'LABEL: 3', 'LABEL: 2']",2
24,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
25,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
26,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
27,2,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
28,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
29,0,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
30,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
31,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
32,0,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
33,2,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
34,1,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
35,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
36,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
37,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
38,0,2,3,2,"['LABEL: 2', 'LABEL: 3', 'LABEL: 3']","['LABEL: 2', 'LABEL: 3', 'LABEL: 3']",2
39,1,3,3,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 3']","['LABEL: 3', 'LABEL: 2', 'LABEL: 3']",2
40,0,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
41,3,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
42,2,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
43,1,3,3,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 3']","['LABEL: 3', 'LABEL: 2', 'LABEL: 3']",2
44,1,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
45,2,3,2,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 2']","['LABEL: 3', 'LABEL: 2', 'LABEL: 2']",2
46,0,3,2,2,"['LABEL: 3', 'LABEL: 2', 'LABEL: 2']","['LABEL: 3', 'LABEL: 2', 'LABEL: 2']",2
47,0,2,3,2,"['LABEL: 2', 'LABEL: 3', 'LABEL: 3']","['LABEL: 2', 'LABEL: 3', 'LABEL: 3']",2
48,3,3,3,3,"['LABEL: 3', 'LABEL: 3', 'LABEL: 3']","['LABEL: 3', 'LABEL: 3', 'LABEL: 3']",3
49,0,2,2,2,"['LABEL: 2', 'LABEL: 2', 'LABEL: 2']","['LABEL: 2', 'LABEL: 2', 'LABEL: 2']",2
